Link,Title,Description,Content,Category,Author,Publish Date,Start
https://tuoitre.vn/bao-milton-lam-chet-it-nhat-4-nguoi-o-my-hon-3-trieu-nguoi-bi-mat-dien-20241010205745642.htm,"Bão Milton làm chết ít nhất 4 người ở Mỹ, hơn 3 triệu người bị mất điện","Chính quyền Florida cho biết ít nhất 4 người chết do lốc xoáy gây ra bởi bão Milton ở bờ tây bang này. Đến nay, ít nhất 3 triệu người sống trong cảnh mất điện.",TRẦN PHƯƠNG,Thế giới,TRẦN PHƯƠNG,10/10/2024 21:06 GMT+7,7
https://tuoitre.vn/israel-ban-trung-tru-so-luc-luong-gin-giu-hoa-binh-lien-hiep-quoc-o-lebanon-20241010215017158.htm,Israel bắn trúng trụ sở Lực lượng gìn giữ hòa bình Liên Hiệp Quốc ở Lebanon,Lực lượng gìn giữ hòa bình Liên Hiệp Quốc chỉ trích việc Israel bắn vào trụ sở lực lượng này ở Lebanon làm 2 binh sĩ bị thương là vi phạm luật quốc tế.,TRẦN PHƯƠNG,Thế giới,TRẦN PHƯƠNG,10/10/2024 21:59 GMT+7,14
https://tuoitre.vn/florida-nhac-dan-canh-giac-vi-khuan-vibrio-trong-nuoc-lu-va-nguy-co-chay-xe-dien-20241010160458278.htm,Florida nhắc dân cảnh giác vi khuẩn Vibrio trong nước lũ và nguy cơ cháy xe điện,"Sở Y tế Florida khuyến cáo người dân tránh tiếp xúc với nước lũ do bão Milton gây ra, vì trong nước chứa nhiều vi khuẩn Vibrio có thể gây nguy hiểm cho người.",KHÁNH QUỲNH,Thế giới,KHÁNH QUỲNH,10/10/2024 16:30 GMT+7,33
https://tuoitre.vn/thu-tuong-du-cap-cao-asean-trung-quoc-de-nghi-aiib-ho-tro-viet-nam-huy-dong-nguon-luc-20241010150038071.htm,"Thủ tướng dự cấp cao ASEAN - Trung Quốc, đề nghị AIIB hỗ trợ Việt Nam huy động nguồn lực","Sáng 10-10, tại thủ đô Vientiane, Lào, Thủ tướng Phạm Minh Chính tham dự Hội nghị Cấp cao ASEAN - Trung Quốc lần thứ 27. Cùng ngày, ông tiếp Chủ tịch Ngân hàng Đầu tư cơ sở hạ tầng châu Á (AIIB) Kim Lập Quần.",QUỲNH TRUNG,Thế giới,"QUỲNH TRUNG 
và 1 tác giả khác",10/10/2024 16:25 GMT+7,27
https://tuoitre.vn/hinh-anh-tu-noi-bao-milton-can-quet-nuoc-ngap-cay-do-loc-xoay-san-phang-nha-cua-2024101016052783.htm,"Hình ảnh từ nơi bão Milton càn quét: Nước ngập, cây đổ, lốc xoáy san phẳng nhà cửa","Nhân chứng kể lại cảnh tượng kinh hoàng khi tận mắt chứng kiến sự chết chóc do lốc xoáy gây ra, lúc bão Milton đổ bộ bang Florida trong ngày 9-10 (giờ Mỹ).",THANH HIỀN,Thế giới,THANH HIỀN,10/10/2024 16:48 GMT+7,48
https://tuoitre.vn/han-quoc-tang-cuong-kiem-soat-bien-gioi-ngan-vi-rut-chet-nguoi-marburg-20241010182732982.htm,"Hàn Quốc tăng cường kiểm soát biên giới, ngăn vi rút chết người Marburg","Ngày 10-10, Cơ quan Kiểm soát và Phòng ngừa dịch bệnh Hàn Quốc (KDCA) thông báo nước này bắt đầu tăng cường kiểm soát biên giới và xét nghiệm đối với những người đến từ 5 quốc gia châu Phi, do sự bùng phát của loại vi rút Marburg gây chết người.",TTXVN,Sức khỏe,TTXVN,10/10/2024 18:34 GMT+7,0
https://tuoitre.vn/so-luong-dong-vat-hoang-da-toan-cau-giam-73-trong-50-nam-qua-2024101014153298.htm,Số lượng động vật hoang dã toàn cầu giảm 73% trong 50 năm qua,Tổ chức quốc tế về bảo tồn thiên nhiên (WWF) cho biết hoạt động của con người đã và đang gây ra 'sự mất mát thảm khốc' cho các loài động vật trên Trái đất.,KHÁNH QUỲNH,Khoa học,KHÁNH QUỲNH,10/10/2024 15:08 GMT+7,52
https://tuoitre.vn/thu-tuong-de-nghi-han-quoc-cap-von-uu-dai-de-xay-duong-sat-duong-bo-cao-toc-20241010135051689.htm,"Thủ tướng đề nghị Hàn Quốc cấp vốn ưu đãi để xây đường sắt, đường bộ cao tốc","Thủ tướng Phạm Minh Chính đề nghị Hàn Quốc cung cấp các khoản vay ưu đãi cho Việt Nam để triển khai các dự án hạ tầng quy mô lớn, mang tính biểu tượng như đường sắt, đường bộ cao tốc.",QUỲNH TRUNG,Thế giới,QUỲNH TRUNG,10/10/2024 14:10 GMT+7,30
https://tuoitre.vn/bo-y-te-thai-lan-canh-bao-can-benh-bi-an-tu-afghanistan-20241010131441961.htm,Bộ Y tế Thái Lan cảnh báo căn bệnh bí ẩn từ Afghanistan,"Đến nay đã có ít nhất 500 người nhiễm căn bệnh bí ẩn. Các triệu chứng bao gồm suy nhược toàn thân, đau chân tay dữ dội, tiêu chảy và sốt cao.",TTXVN,Sức khỏe,TTXVN,10/10/2024 13:37 GMT+7,41
https://tuoitre.vn/nguoi-viet-o-tam-bao-milton-khong-dam-ngu-nghe-bao-giam-cap-van-lo-20241010102534648.htm,"Người Việt ở tâm bão Milton: 'Không dám ngủ, nghe bão giảm cấp vẫn lo'","Chị Hà đã suy nghĩ rất lâu và tính toán kỹ càng trước khi quyết định ở lại TP Sarasota, bang Florida, nơi tâm bão Milton trực tiếp đi qua.",THANH HIỀN,Thế giới,THANH HIỀN,10/10/2024 13:28 GMT+7,37
